Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$64.226,0.976,1.543%,,United States,,565,,
HZON,Horizon Acquisition Corporation II Class A Ordinary Shares,$10.112,0.0219,0.217%,306884315.00,United States,2020,414,Finance,Blank Checks
IAF,abrdn Australia Equity Fund Inc. Common Stock,$4.83,0.08,1.684%,120422425.00,United States,1985,30989,Finance,Finance/Investors Services
IAUX,i-80 Gold Corp. Common Shares,$2.36,0.07,3.057%,567269936.00,,2022,1414227,,
IBIO,iBio Inc. Common Stock,$1.61,0.03,1.899%,19914338.00,United States,,1945871,Health Care,Biotechnology: Pharmaceutical Preparations
ID,PARTS iD Inc. Class A Common Stock,$0.40,-0.0212,-5.033%,13645780.00,United States,2017,26673,Consumer Discretionary,Auto Parts:O.E.M.
IDR,Idaho Strategic Resources Inc. Common Stock,$5.12,-0.08,-1.538%,61942118.00,,2022,5505,Basic Materials,Precious Metals
IDW,IDW Media Holdings Class B Common Stock,$0.9027,-0.0073,-0.802%,12709572.00,,2021,836,Consumer Discretionary,Newspapers/Magazines
IE,Ivanhoe Electric Inc. Common Stock,$15.83,0.58,3.803%,1470415742.00,,2022,479652,Basic Materials,Metal Mining
IGC,India Globalization Capital Inc. Common Stock,$0.3848,-0.0002,-0.052%,20424197.00,United States,,102722,Consumer Discretionary,Engineering & Construction
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$1.7499,0.1899,12.173%,15954736.00,United States,1999,3770,Real Estate,Real Estate Investment Trusts
IMH,Impac Mortgage Holdings Inc. Common Stock ,$0.3517,0.0505,16.766%,12860604.00,United States,1997,126523,Finance,Finance: Consumer Services
IMO,Imperial Oil Limited Common Stock,$51.61,0.35,0.683%,30148121776.00,Canada,1929,333674,,
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$5.49,0.17,3.195%,55683390.00,,2019,44477,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$9.60,0.08,0.84%,198301190.00,United States,,13087,Health Care,Medical/Dental Instruments
INLX,Intellinetics Inc. Common Stock,$4.151,0.0009,0.022%,,,2022,720,Technology,EDP Services
INTT,inTest Corporation Common Stock,$14.27,-0.45,-3.057%,157297482.00,United States,1997,153707,Technology,Semiconductors
INUV,Inuvo Inc.,$0.3931,0.0043,1.106%,47225023.00,United States,,150349,Consumer Discretionary,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$11.6069,0.00,0.00%,48382364.00,United States,1987,28,Finance,Diversified Financial Services
IPVF,InterPrivate III Financial Partners Inc. Class A Common Stock,$10.21,0.06,0.591%,339342113.00,,2021,963,Industrials,Consumer Electronics/Appliances
ISDR,Issuer Direct Corporation Common Stock,$26.0015,0.0315,0.121%,98572207.00,United States,,5030,Technology,Computer Software: Prepackaged Software
ITP,IT Tech Packaging Inc. Common Stock,$0.55,0.0223,4.226%,6278756.00,China,,10992,Basic Materials,Paper
ITRG,Integra Resources Corp. Common Shares,$0.5598,0.0056,1.01%,44562842.00,,,88251,,
JOB,GEE Group Inc. Common Stock,$0.438,0.0162,3.841%,50129299.00,United States,1968,307850,Consumer Discretionary,Diversified Commercial Services
KIQ,Kelso Technologies Inc Ordinary Shares,$0.3784,0.0189,5.257%,20554721.00,Canada,,60368,,
KNW,Know Labs Inc. Common Stock,$1.05,0.0314,3.083%,50618334.00,,2022,134917,Industrials,Industrial Machinery/Components
KULR,KULR Technology Group Inc. Common Stock,$1.25,-0.07,-5.303%,140933234.00,United States,,670612,,
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$1.40,0.01,0.719%,209973886.00,United States,,249112,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$42.71,0.01,0.023%,620992979.00,United States,2014,448453,,
LGL,LGL Group Inc. (The) Common Stock,$4.65,0.00,0.00%,24891157.00,United States,1946,976,Technology,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,$164.38,1.06,0.649%,40874633158.00,United States,2001,2063567,Utilities,Oil/Gas Transmission
LODE,Comstock Inc. Common Stock,$0.312,0.0145,4.874%,29911341.00,United States,,656012,Finance,Real Estate
LPTV,Loop Media Inc. Common Stock,$5.85,0.05,0.862%,329830073.00,,2022,12005,Industrials,Broadcasting
LSF,Laird Superfood Inc. Common Stock,$1.07,-0.0301,-2.736%,9868206.00,,2020,26656,Consumer Staples,Specialty Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$16.10,0.12,0.751%,438059120.00,United Kingdom,2012,79813,Industrials,Metal Fabrications
MAG,MAG Silver Corporation Ordinary Shares,$12.33,0.29,2.409%,1268172607.00,Canada,,501305,,
MAIA,MAIA Biotechnology Inc. Common Stock,$4.60,-0.08,-1.709%,50351158.00,,2022,29303,Health Care,Biotechnology: Pharmaceutical Preparations
MGLD,The Marygold Companies Inc. Common Stock,$1.75,0.10,6.061%,69007433.00,,2022,13007,Finance,Finance/Investors Services
MHH,Mastech Digital Inc Common Stock,$12.73,0.28,2.249%,147893436.00,United States,,3631,Consumer Discretionary,Professional Services
MIMO,Airspan Networks Holdings Inc. Common Stock,$1.28,-0.02,-1.538%,94623352.00,,2020,7113,Consumer Discretionary,Telecommunications Equipment
MITQ,Moving iMage Technologies Inc. Common Stock,$1.202,-0.008,-0.661%,13171994.00,United States,2021,98791,Telecommunications,Telecommunications Equipment
MLSS,Milestone Scientific Inc. Common Stock,$0.80,0.01,1.266%,55836264.00,United States,2015,221496,Health Care,Industrial Specialties
MNK,Mallinckrodt plc Ordinary Shares,$9.11,0.39,4.472%,119987191.00,,2022,10945,Health Care,Biotechnology: Pharmaceutical Preparations
MPTI,M-tron Industries Inc. Common Stock,$10.30,-0.05,-0.483%,28086019.00,,2022,2225,,
MPU,Mega Matrix Corp. Common Stock,$1.59,0.09,6.00%,50186846.00,United States,1998,19939,Consumer Discretionary,Diversified Commercial Services
MSN,Emerson Radio Corporation Common Stock,$0.5568,-0.0182,-3.165%,11716549.00,United States,1994,12089,Consumer Staples,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$4.65,0.05,1.087%,209318536.00,,,133686,,
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.498,0.0193,4.032%,107998534.00,United States,2017,163723,Health Care,Biotechnology: Pharmaceutical Preparations
MXC,Mexco Energy Corporation Common Stock,$13.00,0.30,2.362%,27846000.00,United States,2003,6931,Energy,Oil & Gas Production
MYO,Myomo Inc. Common Stock,$0.665,0.005,0.758%,13448926.00,United States,2017,286500,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.221,0.008,3.756%,117081245.00,Canada,,510133,,
NAVB,Navidea Biopharmaceuticals Inc. Common Stock,$0.3428,0.0279,8.86%,11094503.00,United States,,48539,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$10.36,0.03,0.29%,195215179.00,United States,2002,55603,Finance,Finance/Investors Services
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,$9.41,0.13,1.401%,47778494.00,United States,2002,23048,Finance,Finance/Investors Services
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,$10.55,0.05,0.476%,58563514.00,United States,2002,16931,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$2.23,0.03,1.364%,4184470.00,United States,2007,3710,Health Care,Biotechnology: Pharmaceutical Preparations
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$74.95,0.00,0.00%,268143818.00,United States,,88,Finance,Real Estate
NEWP,New Pacific Metals Corp. Common Shares,$2.57,-0.03,-1.154%,403616637.00,,2021,54570,,
NFGC,New Found Gold Corp Common Shares,$3.74,0.06,1.63%,655516397.00,,2021,138873,,
NG,Novagold Resources Inc.,$5.80,0.09,1.576%,1937001164.00,Canada,2003,507954,,
NGD,New Gold Inc.,$0.9319,-0.0238,-2.49%,636301320.00,Canada,,2583369,,
NHC,National HealthCare Corporation Common Stock,$55.05,-0.17,-0.308%,845314164.00,United States,1986,95183,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$8.31,0.05,0.605%,161484407.00,United States,,89678,Finance,Trusts Except Educational Religious and Charitable
NHWK,NightHawk Biosciences Inc. Common Stock,$0.9462,0.0162,1.742%,24280900.00,United States,2022,23448,Health Care,Biotechnology: Pharmaceutical Preparations
NML,Neuberger Berman MLP and Energy Income Fund Inc. Common Stock,$7.07,0.01,0.142%,400578621.00,,2013,153467,Finance,Finance/Investors Services
NNVC,NanoViricides Inc. Common Stock,$1.38,0.02,1.471%,16056300.00,United States,,19109,Health Care,Biotechnology: Pharmaceutical Preparations
NRO,Neuberger Berman Real Estate Securities Income Fund Inc. Neuberger Berman Real Estate Securities Income Fund Inc.,$3.35,0.03,0.904%,158976950.00,United States,2003,122578,Finance,Finance/Investors Services
NSTB,Northern Star Investment Corp. II Class A Common stock,$9.98,0.01,0.10%,499000000.00,,2021,405,Industrials,Consumer Electronics/Appliances
NTIP,Network-1 Technologies Inc. Common Stock,$2.25,0.05,2.273%,53758737.00,United States,,5368,Technology,Interactive Media
OBE,Obsidian Energy Ltd. Common Shares,$7.62,0.27,3.673%,628194400.00,,2022,565829,,
OGEN,Oragenics Inc. Common Stock,$4.42,-0.1201,-2.645%,8667784.00,United States,,12368,Health Care,Biotechnology: Pharmaceutical Preparations
OPTT,Ocean Power Technologies Inc. Common Stock,$0.57,0.0031,0.547%,31875472.00,United States,2007,141149,Industrials,Industrial Machinery/Components
ORLA,Orla Mining Ltd. Common Shares,$4.39,0.12,2.81%,1340581579.00,,2020,63122,,
